method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,humaneval,noisy,0,0.9970,"[0.992, 1.000]",0.9970,0.0030,,480.3649,,0.8571,,0.0837,0.1153
r2v@0.2,humaneval,noisy,0,0.9925,"[0.986, 0.998]",0.9925,0.0075,,416.7973,,0.7052,,0.0837,0.1153
r2v@0.3,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.0837,0.1153
r2v@0.4,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.0837,0.1153
r2v@0.5,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.0837,0.1153
r2v@0.6,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.0837,0.1153
r2v@0.7,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.0837,0.1153
r2v@0.8,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.0837,0.1153
r2v@0.9,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.0837,0.1153
slm_only,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,544.5946,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,76.2252,,0.0811,,,
r2v@0.1,humaneval,noisy,0,0.9970,"[0.992, 1.000]",,,,480.3649,,0.8571,,,
r2v@0.2,humaneval,noisy,0,0.9925,"[0.986, 0.998]",,,,416.7973,,0.7052,,,
r2v@0.3,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
r2v@0.4,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
r2v@0.5,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
r2v@0.6,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
r2v@0.7,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
r2v@0.8,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
r2v@0.9,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
slm_only,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,544.5946,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,76.2252,,0.0811,,,
